	miRNA	log(FC)	Expression
189	miR-374b-5p	0.052312	Up
82	miR-146b-5p	0.051664	Up
428	miR-93-3p	0.051356	Up
296	miR-515-5p	0.050472	Up
143	miR-19b-3p	0.050291	Up
285	miR-509-5p	0.050033	Up
361	miR-605-5p	0.049834	Up
129	miR-194-5p	0.049225	Up
367	miR-611	0.048829	Up
357	miR-601	0.048494	Up
25	miR-1292-5p	0.048144	Up
444	miR-98-5p	0.047944	Up
167	miR-211-5p	0.047033	Up
64	miR-139-3p	0.046911	Up
407	miR-887-3p	0.04681	Up
370	miR-614	0.046696	Up
314	miR-523-3p	0.046472	Up
393	miR-770-5p	0.046085	Up
335	miR-548a-5p	0.04551	Up
243	miR-483-5p	0.045232	Up
439	miR-943	0.044867	Up
368	miR-612	0.044241	Up
371	miR-615-3p	0.043579	Up
321	miR-526b-5p	0.042928	Up
292	miR-513b-5p	0.042909	Up
436	miR-940	0.042758	Up
281	miR-508-3p	0.042327	Up
274	miR-502-5p	0.042214	Up
161	miR-20a-3p	0.042164	Up
205	miR-382-5p	0.041548	Up
290	miR-513a-3p	0.041208	Up
360	miR-604	0.040173	Up
344	miR-589-3p. miR-589-5p	0.039653	Up
440	miR-944	0.038739	Up
349	miR-593-5p. miR-593-3p	0.038647	Up
378	miR-620	0.037961	Up
310	miR-520g-3p	0.037566	Up
350	miR-593-5p	0.03703	Up
442	miR-96-5p	0.03648	Up
402	miR-877-3p	0.034958	Up
318	miR-525-3p	0.034926	Up
373	miR-616-3p. miR-616-5p	0.034701	Up
247	miR-486-3p	0.032398	Up
306	miR-520d-3p	0.031681	Up
410	miR-889-3p	0.028928	Up
447	miR-99b-5p	0.02878	Up
418	miR-920	0.02836	Up
351	miR-595	0.027943	Up
384	miR-744-5p	0.026848	Up
443	miR-96-3p	0.026743	Up
388	miR-765	0.026623	Up
419	miR-921	0.023645	Up
412	miR-891a-5p	0.022746	Up
301	miR-519e-5p	-0.021045	Down
420	miR-922	-0.021118	Down
421	miR-924	-0.021322	Down
366	miR-610	-0.021925	Down
213	miR-412-3p	-0.028876	Down
392	miR-769-5p	-0.029207	Down
229	miR-449a	-0.029838	Down
386	miR-758-3p	-0.031025	Down
287	miR-511-5p	-0.031523	Down
219	miR-424-3p	-0.031562	Down
338	miR-583	-0.031936	Down
315	miR-523-5p	-0.032531	Down
408	miR-888-5p	-0.033355	Down
221	miR-425-3p	-0.033659	Down
336	miR-548b-3p	-0.03438	Down
415	miR-892b	-0.034436	Down
354	miR-598-3p	-0.035567	Down
399	miR-876-3p	-0.035806	Down
430	miR-934	-0.036155	Down
248	miR-486-5p	-0.036164	Down
389	miR-766-3p	-0.036255	Down
422	miR-92a-3p	-0.038207	Down
434	miR-938	-0.03829	Down
194	miR-376b-3p	-0.038311	Down
252	miR-488-5p	-0.038661	Down
245	miR-485-3p	-0.041164	Down
231	miR-450a-5p	-0.042944	Down
380	miR-622	-0.043097	Down
114	miR-181c-5p	-0.043483	Down
405	-	-0.044678	Down
320	miR-526a	-0.045358	Down
289	miR-512-5p	-0.045984	Down
76	miR-145-5p	-0.046202	Down
