	mRNA	log(FC)	Expression
1218	SULF1	1.9145245	Up
1045	EPSTI1	1.9141287	Up
494	HIST1H3E	1.9050126	Up
1133	MRPS30	1.9045219	Up
570	DGKH	1.8937255	Up
1825	CELF2	1.8884327	Up
780	BRIP1	1.8875851	Up
512	KIF15	1.8870162	Up
3406	FAM124B	1.884755	Up
2077	OMD	1.8840634	Up
300		1.8551588	Up
2044		1.8511674	Up
2395		1.8489165	Up
2756	POSTN	1.8478581	Up
427	ISG15	1.8455415	Up
582	EPYC	1.842634	Up
1884	DCBLD1	1.8411401	Up
221	FBN2	1.8386905	Up
1508	AURKB	1.8383984	Up
1959	RFTN2	1.8364256	Up
954	FCGR1B	1.8284515	Up
343	UNC5B	1.8232451	Up
1374	QPRT	1.8217	Up
468	GALNT2	1.8204431	Up
819	PRR11	1.81919	Up
1483	TMED6	1.8164902	Up
543	CCNB2	1.8143064	Up
503	LGALS9	1.8100649	Up
1528	ALOX12-AS1	1.8059679	Up
1011	NUDT1	1.8045017	Up
1028	IFIT5	1.803535	Up
2032	COCH	1.7968734	Up
1107	MFAP2	1.7959953	Up
1764	GPRC5A	1.7888562	Up
2360	CNIH3	1.7888204	Up
134	HUS1	1.7865673	Up
1368	ISG20	1.7857942	Up
1916	LOC100506922	1.7848944	Up
1601	PLXNC1	1.7763016	Up
65	COL12A1	1.7752005	Up
314	FGF18	1.7750764	Up
1954	MMP1	1.7708291	Up
225	LOC101927934	1.7693175	Up
3281	MRPS10	1.7692531	Up
3354	MIR15A///DLEU2	1.7692093	Up
486	IFI27	1.7626783	Up
2158	CCNYL1	1.7623377	Up
2848	UHRF1BP1L	1.7615975	Up
1242	CD163	1.7491291	Up
2335	WDHD1	1.7477979	Up
2202	CCRL2	1.7474686	Up
717	NUSAP1	1.7368205	Up
2528	FAHD1	1.7340145	Up
376	LUM	1.7339995	Up
1448	CDCA5	1.7335021	Up
608	EXO1	1.7327513	Up
1696	CYFIP2	1.730123	Up
2931	LOC101929713	1.7213295	Up
263	LUM	1.7173986	Up
2771	CXCL11	1.7162707	Up
779	COL4A1	1.7125904	Up
235	RUNX2	1.7105512	Up
3323	LRRC32	1.7097192	Up
165	CD84	1.707298	Up
2273	RAB2A	1.7065344	Up
1887	IFIT1	1.7044005	Up
2261	PXK	1.7038116	Up
1966	HOXB7	1.703273	Up
3106		1.7020706	Up
2104	ARMC1	1.7019472	Up
1175	WIPF1	1.7003849	Up
386	ZNF805	1.6990563	Up
441	HSPA6	1.6976971	Up
612	UNC5B	1.6938664	Up
1870	ALS2CR12	1.6932158	Up
3089	SLC30A1	1.6916718	Up
2048	G6PD	1.6807884	Up
663	CCDC102B	1.680432	Up
529	KIF26B	1.6802741	Up
2592	RIBC2	1.6797095	Up
1650	PFKFB2	1.6779002	Up
3305	KCMF1	1.6777241	Up
1375		1.6757291	Up
1108	ABCB4	1.6754195	Up
1636	CMKLR1	1.6750779	Up
429	SULF1	1.6734108	Up
1061	GPR143	1.6729369	Up
256	HECTD1	1.67289	Up
3178	ZNF497	1.6699693	Up
318	FNDC3A	1.666888	Up
2142	PPP1R7	1.661538	Up
1664	RAP2C	1.6609657	Up
1519	LOC100288675	1.6605382	Up
980	CXCR4	1.6603928	Up
2512		1.6583895	Up
727	FOXD3	1.6576528	Up
1144	ZNF805	1.6573937	Up
190		1.6568083	Up
917	POLQ	1.6552238	Up
583	ABCB8	1.6544321	Up
2803		1.6508234	Up
3147	GCH1	1.6473661	Up
1474	GPAT4	1.6462487	Up
581	CTDP1	1.6435995	Up
1905		1.6418501	Up
2552	EPS15L1	1.6408562	Up
302	KIAA0101	1.6386763	Up
2486	HSPA12A	1.6381131	Up
3484	NR2F1-AS1	1.6367259	Up
2869		1.636167	Up
2238	CRTAM	1.6351242	Up
